File Name,LOC,LLOC,SLOC,Comments,Multi,Cyclomatic Complexity,Maintainability Index,h1,h2,hN1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
40.py,13,13,13,0,5,60.40373503428442,4,13,17,10,20,30,17,122.6238852375102,3.076923076923077,377.30426226926215,0.040874628412503396,20.961347903847898
140.py,4,4,4,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
90.py,7,7,7,0,2,76.55471099040834,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
114.py,15,9,8,0,3,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
135.py,5,5,5,0,3,74.88675298233962,3,4,7,3,5,8,7,22.458839376460833,1.875,42.11032383086406,0.007486279792153611,2.3394624350480036
37.py,11,11,11,0,4,66.5551155257163,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
89.py,5,5,5,0,2,72.36617257328172,3,9,12,5,10,15,12,53.77443751081735,1.6666666666666667,89.62406251802892,0.017924812503605784,4.9791145843349405
20.py,7,6,5,0,1,78.14958877590634,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
137.py,10,9,9,0,3,71.22423816857055,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
127.py,17,16,16,0,3,61.21234618798814,5,7,12,5,10,15,12,53.77443751081735,3.5714285714285716,192.0515625386334,0.017924812503605784,10.6695312521463
21.py,9,6,7,0,2,72.93582841773419,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
129.py,16,14,15,0,9,58.70253433411023,6,16,22,12,20,32,22,142.7018117963935,3.75,535.1317942364757,0.04756727059879784,29.729544124248648
0.py,9,7,7,0,3,71.1391250772406,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
101.py,3,3,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
